number_version,commit
249,Added new Feature so that volumes can be specified in POM
263,[maven-release-plugin] prepare for next development iteration
264,Update README.md for issue #171
265,Merge pull request #172 from mattreyuk/patch-1
268,Merge pull request #173 from dawidmalina/squash-commands
270,[maven-release-plugin] prepare for next development iteration
274,[maven-release-plugin] prepare for next development iteration
0,Initial public release
1,Added .travis.yml
4,Merge pull request #3 from spotify/rculbertson/pom-fields
14,use testOutputDirectory prop for image_info.json
27,Merge pull request #10 from spotify/rculbertson/undefined-property-npe
45,Use param name not user prop name when injecting imageName into session
53,${gitShortCommitId} should work when specified in pom
70,Merge pull request #32 from spotify/dxia/automate-sonatype
82,Merge pull request #39 from spotify/rculbertson/findbugs
93,[maven-release-plugin] prepare for next development iteration
99,Merge pull request #43 from evgeny-goldin/extra-tags
111,Merge pull request #56 from spotify/rculbertson/omit-null-fields
116,Update release docs
117,[maven-release-plugin] prepare release v0.2.2
119,Throw MojoExecutionException instead of NPE
121,[maven-release-plugin] prepare release v0.2.3
123,[maven-release-plugin] prepare release v0.2.4
124,[maven-release-plugin] prepare for next development iteration
125,#47 - removeImage Mojo added
126,Merge pull request #62 from krystiannowak/krystiannowak/remove-image
127,[maven-release-plugin] prepare release v0.2.5
128,[maven-release-plugin] prepare for next development iteration
129,Set mtime of copied files to 1
130,Support auth credentials for private repo push
131,Merge pull request #60 from spotify/dxia/private-registry-push2
132,[maven-release-plugin] prepare release v0.2.6
133,[maven-release-plugin] prepare for next development iteration
134,Merge pull request #67 from spotify/dxia/mtime-1
135,Fix NPE for newly initialized git repo
136,Merge pull request #73 from spotify/dxia/npe-fix
137,Upgrade docker-client dep from 2.7.6 to 2.7.22
138,Add junit dep
139,Merge pull request #80 from spotify/upgrade-docker-client
140,Merge pull request #81 from spotify/add-junit-dep
141,Classify docker-client as shaded
142,Merge pull request #83 from spotify/classify-docker-client
473,[maven-release-plugin] prepare release v0.3.112
474,[maven-release-plugin] prepare for next development iteration
475,[maven-release-plugin] prepare release v0.3.113
476,[maven-release-plugin] prepare for next development iteration
477,[maven-release-plugin] prepare release v0.3.114
478,[maven-release-plugin] prepare for next development iteration
482,[maven-release-plugin] prepare for next development iteration
483,[maven-release-plugin] prepare release v0.3.117
484,[maven-release-plugin] prepare for next development iteration
485,[maven-release-plugin] prepare release v0.3.118
489,[maven-release-plugin] prepare release v0.3.120
491,[maven-release-plugin] prepare release v0.3.121
492,[maven-release-plugin] prepare for next development iteration
493,[maven-release-plugin] prepare release v0.3.122
494,[maven-release-plugin] prepare for next development iteration
143,Added capability of using force option for tagging
144,[maven-release-plugin] prepare release v0.2.7
145,[maven-release-plugin] prepare for next development iteration
149,Update maven-compiler-plugin and fix indentation
150,Merge pull request #85 from spotify/update-maven-compiler-version
151,[maven-release-plugin] prepare release v0.2.8
153,Added support for encrypted passwords
154,Extracted AuthConfig building to enable testing
155,Test authentication using encrypted password
156,[maven-release-plugin] prepare release v0.2.9
157,[maven-release-plugin] prepare for next development iteration
158,Upgrade docker-client dep from 2.7.22 to 2.7.26
159,Merge pull request #96 from spotify/upgrade-docker-client
160,Fix nullpointer while reading settings.xml
162,downgrade assertj for compatibility to java7
163,[maven-release-plugin] prepare release v0.2.10
164,[maven-release-plugin] prepare for next development iteration
165,Fix NPE for email
166,Merge pull request #99 from spotify/fix-npe
167,Preserve mtime of copied files
168,Merge pull request #100 from spotify/preserve-mtime
169,[maven-release-plugin] prepare release v0.2.11
170,[maven-release-plugin] prepare for next development iteration
171,fix NPE if tagInfoFile does not contain parent dir
185,Merge pull request #120 from spotify/pull-on-build
257,Changed log level from debug to info to show always why the docker build was skipped
288,[maven-release-plugin] prepare for next development iteration
346,[maven-release-plugin] prepare for next development iteration
315,[maven-release-plugin] prepare release v0.3.33
322,[maven-release-plugin] prepare for next development iteration
360,[maven-release-plugin] prepare for next development iteration
370,[maven-release-plugin] prepare for next development iteration
371,[maven-release-plugin] prepare release v0.3.61
373,[maven-release-plugin] prepare release v0.3.62
374,[maven-release-plugin] prepare for next development iteration
375,[maven-release-plugin] prepare release v0.3.63
376,[maven-release-plugin] prepare for next development iteration
377,[maven-release-plugin] prepare release v0.3.64
382,[maven-release-plugin] prepare for next development iteration
383,[maven-release-plugin] prepare release v0.3.67
384,[maven-release-plugin] prepare for next development iteration
385,[maven-release-plugin] prepare release v0.3.68
387,[maven-release-plugin] prepare release v0.3.69
388,[maven-release-plugin] prepare for next development iteration
389,[maven-release-plugin] prepare release v0.3.70
390,[maven-release-plugin] prepare for next development iteration
391,[maven-release-plugin] prepare release v0.3.71
392,[maven-release-plugin] prepare for next development iteration
393,[maven-release-plugin] prepare release v0.3.72
394,[maven-release-plugin] prepare for next development iteration
395,[maven-release-plugin] prepare release v0.3.73
396,[maven-release-plugin] prepare for next development iteration
397,[maven-release-plugin] prepare release v0.3.74
398,[maven-release-plugin] prepare for next development iteration
399,[maven-release-plugin] prepare release v0.3.75
400,[maven-release-plugin] prepare for next development iteration
402,[maven-release-plugin] prepare for next development iteration
495,[maven-release-plugin] prepare release v0.3.123
497,[maven-release-plugin] prepare release v0.3.124
498,[maven-release-plugin] prepare for next development iteration
499,[maven-release-plugin] prepare release v0.3.125
500,[maven-release-plugin] prepare for next development iteration
501,[maven-release-plugin] prepare release v0.3.126
518,[maven-release-plugin] prepare for next development iteration
532,[maven-release-plugin] prepare for next development iteration
542,[maven-release-plugin] prepare for next development iteration
566,[maven-release-plugin] prepare for next development iteration
575,[maven-release-plugin] prepare release v0.3.163
592,[maven-release-plugin] prepare for next development iteration
615,[maven-release-plugin] prepare release v0.3.183
282,[maven-release-plugin] prepare for next development iteration
283,[maven-release-plugin] prepare release v0.3.17
284,[maven-release-plugin] prepare for next development iteration
636,[maven-release-plugin] prepare for next development iteration
658,[maven-release-plugin] prepare for next development iteration
660,[maven-release-plugin] prepare for next development iteration
668,[maven-release-plugin] prepare for next development iteration
681,[maven-release-plugin] prepare release v0.3.216
682,[maven-release-plugin] prepare for next development iteration
683,[maven-release-plugin] prepare release v0.3.217
684,[maven-release-plugin] prepare for next development iteration
685,[maven-release-plugin] prepare release v0.3.218
686,[maven-release-plugin] prepare for next development iteration
687,[maven-release-plugin] prepare release v0.3.219
689,[maven-release-plugin] prepare release v0.3.220
690,[maven-release-plugin] prepare for next development iteration
691,[maven-release-plugin] prepare release v0.3.221
692,[maven-release-plugin] prepare for next development iteration
693,[maven-release-plugin] prepare release v0.3.222
694,[maven-release-plugin] prepare for next development iteration
695,[maven-release-plugin] prepare release v0.3.223
696,[maven-release-plugin] prepare for next development iteration
697,[maven-release-plugin] prepare release v0.3.224
698,[maven-release-plugin] prepare for next development iteration
699,[maven-release-plugin] prepare release v0.3.225
700,[maven-release-plugin] prepare for next development iteration
701,[maven-release-plugin] prepare release v0.3.226
702,[maven-release-plugin] prepare for next development iteration
704,[maven-release-plugin] prepare for next development iteration
705,[maven-release-plugin] prepare release v0.3.228
706,[maven-release-plugin] prepare for next development iteration
707,[maven-release-plugin] prepare release v0.3.229
708,[maven-release-plugin] prepare for next development iteration
709,[maven-release-plugin] prepare release v0.3.230
710,[maven-release-plugin] prepare for next development iteration
711,[maven-release-plugin] prepare release v0.3.231
403,[maven-release-plugin] prepare release v0.3.77
405,[maven-release-plugin] prepare release v0.3.78
406,[maven-release-plugin] prepare for next development iteration
407,[maven-release-plugin] prepare release v0.3.79
408,[maven-release-plugin] prepare for next development iteration
409,[maven-release-plugin] prepare release v0.3.80
410,[maven-release-plugin] prepare for next development iteration
411,[maven-release-plugin] prepare release v0.3.81
412,[maven-release-plugin] prepare for next development iteration
413,[maven-release-plugin] prepare release v0.3.82
415,[maven-release-plugin] prepare release v0.3.83
416,[maven-release-plugin] prepare for next development iteration
417,[maven-release-plugin] prepare release v0.3.84
418,[maven-release-plugin] prepare for next development iteration
419,[maven-release-plugin] prepare release v0.3.85
378,[maven-release-plugin] prepare for next development iteration
379,[maven-release-plugin] prepare release v0.3.65
380,[maven-release-plugin] prepare for next development iteration
381,[maven-release-plugin] prepare release v0.3.66
712,[maven-release-plugin] prepare for next development iteration
713,[maven-release-plugin] prepare release v0.3.232
714,[maven-release-plugin] prepare for next development iteration
715,[maven-release-plugin] prepare release v0.3.233
716,[maven-release-plugin] prepare for next development iteration
717,[maven-release-plugin] prepare release v0.3.234
718,[maven-release-plugin] prepare for next development iteration
719,[maven-release-plugin] prepare release v0.3.235
720,[maven-release-plugin] prepare for next development iteration
721,[maven-release-plugin] prepare release v0.3.236
722,[maven-release-plugin] prepare for next development iteration
723,[maven-release-plugin] prepare release v0.3.237
724,[maven-release-plugin] prepare for next development iteration
725,[maven-release-plugin] prepare release v0.3.238
726,[maven-release-plugin] prepare for next development iteration
727,[maven-release-plugin] prepare release v0.3.239
728,[maven-release-plugin] prepare for next development iteration
729,[maven-release-plugin] prepare release v0.3.240
730,[maven-release-plugin] prepare for next development iteration
731,[maven-release-plugin] prepare release v0.3.241
732,[maven-release-plugin] prepare for next development iteration
733,[maven-release-plugin] prepare release v0.3.242
734,[maven-release-plugin] prepare for next development iteration
735,[maven-release-plugin] prepare release v0.3.243
736,[maven-release-plugin] prepare for next development iteration
737,[maven-release-plugin] prepare release v0.3.244
738,[maven-release-plugin] prepare for next development iteration
739,[maven-release-plugin] prepare release v0.3.245
757,[maven-release-plugin] prepare release v0.3.254
764,[maven-release-plugin] prepare for next development iteration
783,Merge pull request #194 from spotify/dxia/issue-template
804,Merge pull request #213 from spotify/dxia/checkstyle-final-vars
303,[maven-release-plugin] prepare release v0.3.27
310,[maven-release-plugin] prepare for next development iteration
425,[maven-release-plugin] prepare release v0.3.88
439,[maven-release-plugin] prepare release v0.3.95
446,[maven-release-plugin] prepare for next development iteration
479,[maven-release-plugin] prepare release v0.3.115
480,[maven-release-plugin] prepare for next development iteration
481,[maven-release-plugin] prepare release v0.3.116
514,[maven-release-plugin] prepare for next development iteration
522,[maven-release-plugin] prepare for next development iteration
523,[maven-release-plugin] prepare release v0.3.137
524,[maven-release-plugin] prepare for next development iteration
564,[maven-release-plugin] prepare for next development iteration
565,[maven-release-plugin] prepare release v0.3.158
579,[maven-release-plugin] prepare release v0.3.165
580,[maven-release-plugin] prepare for next development iteration
612,[maven-release-plugin] prepare for next development iteration
320,[maven-release-plugin] prepare for next development iteration
321,[maven-release-plugin] prepare release v0.3.36
341,[maven-release-plugin] prepare release v0.3.46
18,use guava 12.0.1
20,[maven-release-plugin] prepare release v0.0.16
59,Add getter for BuildMojo.imageName
60,Merge pull request #28 from spotify/dxia/imageName-getter
101,[maven-release-plugin] prepare for next development iteration
102,Readme update for running plugin's help
146,Add circle-ci build status
147,Fix javadoc error
148,Merge pull request #84 from spotify/fix-javadoc-error
161,Change idents
190,Support more Dockerfile commands
191,Added documentation references
192,Merge pull request #121 from spotify/more-cmds
233,update following review comments from mattnworb
234,adding suggested cli example
275,[maven-release-plugin] prepare release v0.3.13
318,[maven-release-plugin] prepare for next development iteration
361,[maven-release-plugin] prepare release v0.3.56
404,[maven-release-plugin] prepare for next development iteration
447,[maven-release-plugin] prepare release v0.3.99
490,[maven-release-plugin] prepare for next development iteration
533,[maven-release-plugin] prepare release v0.3.142
576,[maven-release-plugin] prepare for next development iteration
619,[maven-release-plugin] prepare release v0.3.185
661,[maven-release-plugin] prepare release v0.3.206
703,[maven-release-plugin] prepare release v0.3.227
746,[maven-release-plugin] prepare for next development iteration
790,Upgrade docker-client from 3.5.9 to 3.6.1
816,using boolean as parameter
3,Added pom fields required by central repo
195,[maven-release-plugin] prepare for next development iteration
212,Include image name (without tag) in the digest field in the tag info file
800,Merge pull request #210 from jmkgreen/patch-1
810,Merge pull request #223 from spotify/dxia/upgrade-docker-client
229,Merge pull request #149 from spotify/empty-cmd
230,Skip docker build if project packaging is set to POM or a dockerDirectory is specified but no Dockerfile contained
5,Merge pull request #2 from spotify/rculbertson/release-plugin
6,[maven-release-plugin] prepare release v0.0.14
8,Add plugins for javadoc and sources
9,Add sonatype parent element to pom
10,Merge pull request #4 from spotify/rculbertson/sonatype
11,Merge pull request #5 from spotify/rculbertson/javadoc-sources
12,[maven-release-plugin] prepare release v0.0.15
15,image info: create parent dir
21,[maven-release-plugin] prepare for next development iteration
22,disable read timeouts
23,Merge pull request #9 from spotify/dano/disable-read-timeouts
24,[maven-release-plugin] prepare release v0.0.17
25,[maven-release-plugin] prepare for next development iteration
26,No longer throw NPE when profile property is undefined
28,Plugin now retains directory structure of resources
30,Ensure ADD statements always have same order in generaated Dockerfile
31,Merge pull request #14 from spotify/rculbertson/sorted-resources
32,[maven-release-plugin] prepare release v0.0.18
34,Remove pom snippet version number from README.md
35,Merge pull request #16 from spotify/dxia/remove-readme-pom-version
36,Do not throw exception if not in git repo
37,Merge pull request #17 from spotify/rculbertson/not-git-repo
38,Added support for Dockerfile's EXPOSE command
39,Merge pull request #18 from spotify/rculbertson/expose
40,[maven-release-plugin] prepare release v0.0.19
42,close docker client after execution
43,Expose image name generated by BuildMojo as a property
44,Merge pull request #20 from dflemstr/export-image-name
47,[maven-release-plugin] prepare release v0.0.20
48,[maven-release-plugin] prepare for next development iteration
49,Updated docs
50,Readme now includes note about multi-module projects
51,Merge pull request #22 from spotify/rculbertson/readme-multi-module
52,Merge pull request #19 from spotify/dano/cleanup
33,[maven-release-plugin] prepare for next development iteration
54,Merge pull request #23 from spotify/rculbertson/commit-id
57,[maven-release-plugin] prepare release v0.0.21
61,Add getter for BuildMojo.repo
62,Merge pull request #29 from spotify/dxia/repo-getter
63,[maven-release-plugin] prepare release v0.0.22
64,[maven-release-plugin] prepare for next development iteration
65,Upgrade docker-client dep to 2.6.4
67,[maven-release-plugin] prepare release v0.0.23
68,[maven-release-plugin] prepare for next development iteration
69,Automate sonatype releases
71,Refactor build and release process
